时间,开盘,最高,最低,收盘,成交量
1997/01/22,8.00,9.30,7.86,9.28,77749504
1997/01/23,8.82,9.20,8.68,8.90,36530700
1997/01/24,8.80,9.33,8.55,9.20,27389100
1997/01/27,9.25,9.43,9.04,9.16,16405600
1997/01/28,9.16,9.18,8.95,9.05,10321400
1997/01/29,9.03,9.40,9.02,9.21,13379400
1997/01/30,9.16,9.17,8.96,9.07,9394400
1997/01/31,9.00,9.06,8.90,9.00,9008300
1997/02/17,8.98,9.35,8.78,9.12,5616600
1997/02/18,9.11,9.12,8.20,8.20,9652400
1997/02/19,8.25,8.72,8.20,8.68,7390300
1997/02/20,7.80,8.67,7.80,8.36,9220600
1997/02/21,8.38,8.57,8.29,8.48,4818800
1997/02/24,8.50,8.58,8.38,8.40,3796800
1997/02/25,8.40,8.60,8.33,8.44,2908500
1997/02/26,8.42,8.70,8.39,8.63,4052000
1997/02/27,8.63,8.70,8.50,8.53,4599600
1997/02/28,8.50,8.60,8.35,8.50,3799800
1997/03/03,8.50,8.95,8.50,8.80,6565500
1997/03/04,8.85,8.90,8.61,8.78,5281500
1997/03/05,8.76,9.10,8.60,8.80,7618000
1997/03/06,8.78,8.85,8.60,8.81,3443800
1997/03/07,8.83,8.88,8.65,8.68,3011500
1997/03/10,8.68,8.85,8.60,8.81,3677300
1997/03/11,8.83,8.88,8.69,8.87,5233700
1997/03/12,8.90,9.23,8.79,9.10,13038200
1997/03/13,9.15,9.20,8.80,8.89,4305900
1997/03/14,8.88,8.90,8.65,8.81,3903300
1997/03/17,8.80,8.80,8.65,8.70,4779900
1997/03/18,8.70,8.95,8.50,8.73,4438000
1997/03/19,8.75,8.78,8.55,8.74,2822000
1997/03/20,8.80,9.15,8.68,8.70,7730900
1997/03/21,8.60,8.80,8.60,8.78,2990300
1997/03/24,8.85,9.10,8.70,9.08,9016000
1997/03/25,9.15,9.20,8.73,8.83,6951700
1997/03/26,9.00,9.72,8.99,9.72,29616700
1997/03/27,9.85,9.92,9.30,9.30,10703500
1997/03/28,9.35,9.88,9.32,9.65,12829700
1997/03/31,9.88,10.24,9.77,10.09,15218400
1997/04/01,10.18,10.63,10.06,10.22,16159600
1997/04/02,10.00,10.08,9.62,9.68,10876100
1997/04/03,9.58,9.60,9.30,9.49,8530200
1997/04/04,9.56,9.69,9.30,9.58,6526100
